Entry,Coiled_coil,Compositional_bias,Domain_CC,Domain_FT,Motif,Region,Repeat,Zinc_finger
P38271,,COMPBIAS 19..44; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 215..318; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145",,REGION 19..52; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38281,,,,,,,,
P38305,,COMPBIAS 25..39; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..42; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38314,,COMPBIAS 1..28; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 424..451; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 114..175; /note="CBS 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703"; DOMAIN 198..256; /note="CBS 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703"; DOMAIN 283..342; /note="CBS 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703"; DOMAIN 443..512; /note="CBS 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703",,REGION 1..75; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 424..478; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 508..527; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38325,,,,,,REGION 1..23; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38330,,COMPBIAS 10..29; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 79..100; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 101..119; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 590..615; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..29; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 77..133; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 590..630; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38335,,COMPBIAS 1..15; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 224..243; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 244..287; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 332..347; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 354..370; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 371..437; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 467..481; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 497..511; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..26; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 211..287; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 325..437; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 465..511; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38343,,,,,,,,
P38358,,,,,,,,
P38622,,,,DOMAIN 121..414; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159",,REGION 502..512; /note="Calmodulin-binding"; /evidence="ECO:0000255",,
P38635,,,,,,,,
P38693,,,,,,,,
P38694,,,,,,,,
P38702,,,,,,,REPEAT 31..122; /note="Solcar 1"; REPEAT 130..231; /note="Solcar 2"; REPEAT 262..354; /note="Solcar 3",
P38707,,,,,,,,
P38708,,,,,,REGION 631..650; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38714,,,,,MOTIF 188..198; /note="'HIGH' region",,,
P38732,,,,DOMAIN 23..281; /note="SET"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00190",,,,
P38734,,,,,,,,
P38738,,,,DOMAIN 50..441; /note="Rab-GAP TBC",,REGION 135..159; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 250..271; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 524..544; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38739,,COMPBIAS 495..521; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 27..110; /note="WSC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00558",,REGION 151..305; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 381..404; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 494..521; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38745,,,,,,,,
P38746,,,,DOMAIN 17..283; /note="OBG-type G"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01047"; DOMAIN 312..398; /note="TGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01228",,,,
P38750,,COMPBIAS 512..529; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 512..537; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 605..627; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38765,,,,,,,,
P38767,,COMPBIAS 1..22; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 39..60; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..67; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 117..138; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38771,,,,,,,,
P38774,,,,,,,,
P38776,,,,,,,,
P38784,,,,,,REGION 93..125; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38787,,,,,,,,
P38790,,,,,,,,
P38804,,COMPBIAS 89..104; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 89..111; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38809,,COMPBIAS 1..27; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 94..123; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 340..354; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..135; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 313..366; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38814,,COMPBIAS 11..27; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 28..63; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 73..103; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 110..142; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 216..248; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..158; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 206..248; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38819,,,,DOMAIN 31..124; /note="GOLD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00096",,,,
P38828,,,,DOMAIN 1..68; /note="Sm"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01346"; DOMAIN 82..179; /note="AD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01345",,,,
P38829,,,,,,REGION 1..26; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 75..100; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38839,,,,,,,,
P38845,,COMPBIAS 129..148; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 169..185; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 334..367; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 388..432; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 107..227; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 160..161; /note="X-DNA-binding"; REGION 247..276; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 300..465; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38848,,COMPBIAS 44..70; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 40..70; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38849,,,,,,,,
P38852,,COMPBIAS 12..50; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 58..86; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 282..340; /note="GYF"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00101",,REGION 1..86; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38870,,COMPBIAS 323..340; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 520..702; /note="Rho-GAP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00172",,REGION 313..340; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 732..785; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P38872,,,,,,,,
P38876,,,,,,,,
P38884,,,,,,,,
P38885,,,,,,,,
P38887,,,,,,,,
P38913,,,,,,,,
P38921,,,,,,,REPEAT 2..75; /note="Solcar 1"; REPEAT 92..178; /note="Solcar 2"; REPEAT 192..271; /note="Solcar 3",
P38958,,,,,,,,
P38969,,,,,,,,
P38971,,COMPBIAS 42..66; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 40..66; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P39005,,,,,,,,
P39110,,,,,,,,
P39523,,COMPBIAS 42..63; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 315..333; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 340..381; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 515..537; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 658..677; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 37..63; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 152..177; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 315..381; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 397..472; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 515..546; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 616..639; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 654..683; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P39525,,,,DOMAIN 2..438; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348",,,,
P39551,,COMPBIAS 238..262; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 235..262; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 297..298; /note="COPII binding"; /evidence="ECO:0000250",,
P39567,,,,DOMAIN 121..183; /note="CBS 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703"; DOMAIN 184..240; /note="CBS 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703",,,,
P39682,,,,,,,REPEAT 68..100; /note="HAT 1"; REPEAT 102..134; /note="HAT 2"; REPEAT 138..173; /note="HAT 3"; REPEAT 175..208; /note="HAT 4"; REPEAT 233..265; /note="HAT 5"; REPEAT 270..302; /note="HAT 6"; REPEAT 446..480; /note="HAT 7",
P39708,,,,,,,,
P39709,,,,,,,,
P39718,,,,,,,,
P39937,,,,DOMAIN 23..67; /note="CAP-Gly"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00045",,,REPEAT 153..174; /note="LRR 1"; REPEAT 179..201; /note="LRR 2"; REPEAT 204..227; /note="LRR 3"; REPEAT 229..252; /note="LRR 4"; REPEAT 255..276; /note="LRR 5"; REPEAT 277..298; /note="LRR 6"; REPEAT 299..319; /note="LRR 7"; REPEAT 324..345; /note="LRR 8",
P39944,,,,DOMAIN 159..283; /note="Rhodanese"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00173"; DOMAIN 446..804; /note="USP",,REGION 359..380; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P39955,,COMPBIAS 120..139; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 302..336; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 359..384; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 458..529; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 538..561; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 112..144; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 195..219; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 302..398; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 413..438; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 456..561; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P39959,,COMPBIAS 337..365; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 337..383; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 389..412; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 418..440; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"
P39961,,,,,,,,
P39965,,,,,,,,
P39967,,COMPBIAS 9..34; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 35..76; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 194..210; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 236..270; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 738..754; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 134..667; /note="USP",,REGION 1..76; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 194..273; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 726..754; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P39981,,COMPBIAS 23..48; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 21..48; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P39982,,,,,,,,
P40002,,COMPBIAS 90..125; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 135..157; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 90..157; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 232..254; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 314..389; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 425..479; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 528..552; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40006,,COMPBIAS 208..225; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 203..225; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40036,,COMPBIAS 8..28; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 40..54; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 419..534; /note="CBM21"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00491",,REGION 1..54; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 118..143; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 191..212; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 293..346; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40037,,,,,,,,
P40039,,,,,,,,
P40041,,COMPBIAS 1..16; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 129..150; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 421..442; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..23; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 105..179; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 421..460; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40045,,,,,,,,
P40050,,COMPBIAS 10..24; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..24; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40060,,,,,,,,
P40081,,,,,,,,
P40095,,COMPBIAS 1..28; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 156..174; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 296..310; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..33; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 60..101; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 102..121; /note="10 X 2 AA tandem repeats of N-M"; REGION 150..174; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 192..271; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 286..317; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 357..379; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 441..483; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",REPEAT 102..103; /note="1"; REPEAT 104..105; /note="2"; REPEAT 106..107; /note="3"; REPEAT 108..109; /note="4"; REPEAT 110..111; /note="5"; REPEAT 112..113; /note="6"; REPEAT 114..115; /note="7"; REPEAT 116..117; /note="8"; REPEAT 118..119; /note="9"; REPEAT 120..121; /note="10",
P40100,,,,,,,,
P40155,,,,,,,,
P40156,,,,,,,,
P40187,,,,DOMAIN 384..508; /note="CBM21"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00491",,,,
P40188,,,,,,,,
P40210,,COMPBIAS 17..36; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 45..72; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 423..437; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 438..455; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 458..482; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..84; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 419..489; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40212,,,,,,,,
P40214,,COMPBIAS 9..36; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..36; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 57..76; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..322; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40309,,,,,,,,
P40317,,COMPBIAS 1..49; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 69..87; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 189..209; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 217..231; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..87; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 106..139; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 162..231; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40325,,COMPBIAS 1..26; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 40..70; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 71..86; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..86; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40328,,COMPBIAS 219..252; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 253..269; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 317..334; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 338..352; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 357..404; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 219..269; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 317..439; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40342,,,,,,,,
P40354,,,,DOMAIN 19..453; /note="CN hydrolase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00054",,,,
P40434,,COMPBIAS 1142..1360; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1361..1384; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 668..845; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 900..1051; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542",,REGION 1142..1384; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40440,,COMPBIAS 1..26; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..40; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40441,,,,,,,,
P40451,,,,,,,,
P40463,,COMPBIAS 1..17; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 18..34; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 169..189; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 211..252; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 282..331; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..34; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 165..195; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 211..266; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 282..360; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 389..436; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40464,,,,,,,REPEAT 7..101; /note="Solcar 1"; REPEAT 123..210; /note="Solcar 2"; REPEAT 224..310; /note="Solcar 3",
P40478,,,,,,,,
P40483,,,,DOMAIN 522..695; /note="Jacalin-type lectin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01088",,,,
P40491,,,,,,,,
P40496,,COMPBIAS 239..257; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 233..264; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40511,,,,,,,,
P40516,,,,,,,,
P40525,,,,,,,,
P40529,,,,DOMAIN 8..130; /note="Arf-GAP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00288",,REGION 137..180; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 23..47; /note="C4-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00288"
P40531,,COMPBIAS 303..320; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 299..326; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40533,,,,,,,,
P40544,,,,,,,,
P40545,,,,,,,,
P40546,,COMPBIAS 32..69; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 22..120; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 323..346; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40561,,COMPBIAS 187..211; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 221..242; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 64..141; /note="RRM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176",,REGION 1..27; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 178..250; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40570,,,,,,,,
P40889,,COMPBIAS 1142..1360; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1361..1384; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 668..845; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 900..1051; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542",,REGION 1142..1384; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P40987,,,,,,,,
P40990,,,,,,,REPEAT 155..188; /note="TPR 1"; REPEAT 260..294; /note="TPR 2",
